reading_package	manip_package	op	type	time	size	max_memory	rows	cols
arrow	dplyr	setup	process	0.224684457	40040745	4728504320	100000	25
arrow	dplyr	setup	real	0.22546029090881348	40040745	4728504320	100000	25
arrow	dplyr	read	process	0.244459857	40040745	4728504320	100000	25
arrow	dplyr	read	real	0.044786930084228516	40040745	4728504320	100000	25
arrow	dplyr	materialize	process	2.535999999997429e-6	40040745	4728504320	100000	25
arrow	dplyr	materialize	real	2.86102294921875e-6	40040745	4728504320	100000	25
arrow	dplyr	print	process	0.024302332999999954	40040745	4728504320	100000	25
arrow	dplyr	print	real	0.02430558204650879	40040745	4728504320	100000	25
arrow	dplyr	head	process	5.572729999999693e-4	40040745	4728504320	100000	25
arrow	dplyr	head	real	5.600452423095703e-4	40040745	4728504320	100000	25
arrow	dplyr	tail	process	3.753370000000311e-4	40040745	4728504320	100000	25
arrow	dplyr	tail	real	3.771781921386719e-4	40040745	4728504320	100000	25
arrow	dplyr	sample	process	0.00538680299999994	40040745	4728504320	100000	25
arrow	dplyr	sample	real	0.005388498306274414	40040745	4728504320	100000	25
arrow	dplyr	filter	process	0.011659752000000023	40040745	4728504320	100000	25
arrow	dplyr	filter	real	0.011662006378173828	40040745	4728504320	100000	25
arrow	dplyr	aggregate	process	0.01664404999999991	40040745	4728504320	100000	25
arrow	dplyr	aggregate	real	0.01666545867919922	40040745	4728504320	100000	25
data.table	data.table	setup	process	0.026294728000000017	40040745	2240073728	100000	25
data.table	data.table	setup	real	0.026296377182006836	40040745	2240073728	100000	25
data.table	data.table	read	process	2.708224198	40040745	2240073728	100000	25
data.table	data.table	read	real	1.6997005939483643	40040745	2240073728	100000	25
data.table	data.table	materialize	process	1.8330000002286795e-6	40040745	2240073728	100000	25
data.table	data.table	materialize	real	2.1457672119140625e-6	40040745	2240073728	100000	25
data.table	data.table	print	process	0.11870537899999967	40040745	2240073728	100000	25
data.table	data.table	print	real	0.01517939567565918	40040745	2240073728	100000	25
data.table	data.table	head	process	2.0878200000007396e-4	40040745	2240073728	100000	25
data.table	data.table	head	real	2.09808349609375e-4	40040745	2240073728	100000	25
data.table	data.table	tail	process	1.3540299999981187e-4	40040745	2240073728	100000	25
data.table	data.table	tail	real	1.361370086669922e-4	40040745	2240073728	100000	25
data.table	data.table	sample	process	0.0023924640000001496	40040745	2240073728	100000	25
data.table	data.table	sample	real	5.545616149902344e-4	40040745	2240073728	100000	25
data.table	data.table	filter	process	0.02630090400000018	40040745	2240073728	100000	25
data.table	data.table	filter	real	0.004605770111083984	40040745	2240073728	100000	25
data.table	data.table	aggregate	process	0.0016640149999997966	40040745	2240073728	100000	25
data.table	data.table	aggregate	real	0.0016651153564453125	40040745	2240073728	100000	25
vroom	dplyr	setup	process	0.13727342600000003	40040745	2001936384	100000	25
vroom	dplyr	setup	real	0.13727068901062012	40040745	2001936384	100000	25
vroom	dplyr	read	process	0.16542565399999998	40040745	2001936384	100000	25
vroom	dplyr	read	real	0.09509682655334473	40040745	2001936384	100000	25
vroom	dplyr	materialize	process	1.0390071440000002	40040745	2001936384	100000	25
vroom	dplyr	materialize	real	1.0389766693115234	40040745	2001936384	100000	25
vroom	dplyr	print	process	0.026347436000000002	40040745	2001936384	100000	25
vroom	dplyr	print	real	0.026349544525146484	40040745	2001936384	100000	25
vroom	dplyr	head	process	4.40777999999975e-4	40040745	2001936384	100000	25
vroom	dplyr	head	real	4.417896270751953e-4	40040745	2001936384	100000	25
vroom	dplyr	tail	process	3.473039999999372e-4	40040745	2001936384	100000	25
vroom	dplyr	tail	real	3.483295440673828e-4	40040745	2001936384	100000	25
vroom	dplyr	sample	process	0.00382175100000004	40040745	2001936384	100000	25
vroom	dplyr	sample	real	0.003822803497314453	40040745	2001936384	100000	25
vroom	dplyr	filter	process	0.003615157999999896	40040745	2001936384	100000	25
vroom	dplyr	filter	real	0.0036160945892333984	40040745	2001936384	100000	25
vroom	dplyr	aggregate	process	0.00495663199999985	40040745	2001936384	100000	25
vroom	dplyr	aggregate	real	0.004956960678100586	40040745	2001936384	100000	25
vroom_cran	dplyr	setup	process	0.13931203	40040745	1398599680	100000	25
vroom_cran	dplyr	setup	real	0.13937163352966309	40040745	1398599680	100000	25
vroom_cran	dplyr	read	process	0.131151839	40040745	1398599680	100000	25
vroom_cran	dplyr	read	real	0.08390665054321289	40040745	1398599680	100000	25
vroom_cran	dplyr	materialize	process	1.978878253	40040745	1398599680	100000	25
vroom_cran	dplyr	materialize	real	1.9782023429870605	40040745	1398599680	100000	25
vroom_cran	dplyr	print	process	0.0246289820000003	40040745	1398599680	100000	25
vroom_cran	dplyr	print	real	0.0246279239654541	40040745	1398599680	100000	25
vroom_cran	dplyr	head	process	5.273240000001067e-4	40040745	1398599680	100000	25
vroom_cran	dplyr	head	real	5.278587341308594e-4	40040745	1398599680	100000	25
vroom_cran	dplyr	tail	process	3.781119999999305e-4	40040745	1398599680	100000	25
vroom_cran	dplyr	tail	real	3.788471221923828e-4	40040745	1398599680	100000	25
vroom_cran	dplyr	sample	process	0.005524455999999844	40040745	1398599680	100000	25
vroom_cran	dplyr	sample	real	0.005537271499633789	40040745	1398599680	100000	25
vroom_cran	dplyr	filter	process	0.00397578799999998	40040745	1398599680	100000	25
vroom_cran	dplyr	filter	real	0.003975868225097656	40040745	1398599680	100000	25
vroom_cran	dplyr	aggregate	process	0.0061043359999999325	40040745	1398599680	100000	25
vroom_cran	dplyr	aggregate	real	0.006104469299316406	40040745	1398599680	100000	25
